#water_vapour=f(CIBR)=square(b0*log10(CIBR)+b1)
#CIBR=Band_in_WV/Band_out_WV
#Sentinel 2-> CIBR= Band_9/Band_8A
#WV[g/cm2]
surface_reflectance;sun_zenith;view_zenith;azimuth;ground_altitude;b0;b1
0.05;0;10;90;3.0;-2.99966702985;-0.154508703103
0.05;0;10;90;4.0;-3.15966207753;-0.17627388162
0.05;0;10;125;0.0;-2.76117918865;-0.145796656674
0.05;0;10;125;0.5;-2.67836222931;-0.114432876087
0.05;0;10;125;1.0;-2.74513948928;-0.126374994246
0.05;0;10;125;1.5;-2.88151282403;-0.1533691992
0.05;0;10;125;2.0;-2.98516195308;-0.170248501151
0.05;0;10;125;3.0;-2.96324398795;-0.149253791441
0.05;0;10;125;4.0;-3.15171068662;-0.171576244465
0.05;0;10;180;0.0;-2.73119922229;-0.137560838575
0.05;0;10;180;0.5;-2.68847194642;-0.118581325164
0.05;0;10;180;1.0;-2.75213423926;-0.125771075941
0.05;0;10;180;1.5;-2.88379556603;-0.151861177655
0.05;0;10;180;2.0;-2.96333239392;-0.164460607667
0.05;0;10;180;3.0;-3.02119078757;-0.164663417062
0.05;0;10;180;4.0;-3.16932263689;-0.181633694296
0.05;0;15;0;0.0;-2.69460607332;-0.128236299703
0.05;0;15;0;0.5;-2.70278038313;-0.121184869593
0.05;0;15;0;1.0;-2.75713917258;-0.129594234428
0.05;0;15;0;1.5;-2.81798886994;-0.139498294818
0.05;0;15;0;2.0;-2.96473974775;-0.164229313917
0.05;0;15;0;3.0;-2.94266080621;-0.14965895228
0.05;0;15;0;4.0;-3.15742415328;-0.176266691377
0.05;0;15;45;0.0;-2.69881982833;-0.1319868172
0.05;0;15;45;0.5;-2.68588227352;-0.118116396373
0.05;0;15;45;1.0;-2.73671366757;-0.125737994014
0.05;0;15;45;1.5;-2.85151385749;-0.140577497543
0.05;0;15;45;2.0;-2.92275930853;-0.158551896692
0.05;0;15;45;3.0;-2.96033301986;-0.142283775526
0.05;0;15;45;4.0;-3.14554251786;-0.173091339359
0.05;0;15;90;0.0;-2.73179202353;-0.14146338641
0.05;0;15;90;0.5;-2.67582280252;-0.114920228479
0.05;0;15;90;1.0;-2.73053502607;-0.123387506474
0.05;0;15;90;1.5;-2.84988526386;-0.149626820475
